#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [,1/2]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Be careful of\n
	+ Stick to swim.\n
	+ Press @\n
	+ to swim fast!
    3b	= Press #\n
	+ while standing\n
	+ in front of a\n
	+ barrel to\n
	+ pick it up!
    3c	= Press #\n
	+ while running\n
	+ to slide on\n
	+ your belly!\n
	+ Try it in\n
	+ wet areas!
    3d	= Press #\n
	+ while you are\n
	+ in the water\n
	+ to dive, but\n
	+ watch your\n
	+ life meter!
    3e	= He escaped\n
	+ into the\n
	+ graffiti!\n
	+ Mario! Try\n
	+ spraying it\n
	+ with water!
    3f	= Press @\n
	+ while you are\n
	+ motionless in\n
	+ the water to\n
	+ jump out!
    40	= You can throw\n
	+ that by\n
	+ pressing #!\n
	+ Try jumping\n
	+ and pressing\n
	+ #!
    41	= If you jump\n
	+ toward a\n
	+ tree, you can\n
	+ grab hold and\n
	+ climb up!
    42	= You pick this\n
	+ fruit up by\n
	+ pressing #!
    43	= This fruit is\n
	+ just like a\n
	+ soccer ball!
    44	= Press ¥\n
	+ to get a good\n
	+ look at what\n
	+ is right in\n
	+ front of you!
    45	= Use *\n
	+ to change\n
	+ where you are\n
	+ looking!
    46	= If you press\n
	+ @ twice\n
	+ in a row with\n
	+ good timing,\n
	+ you can jump\n
	+ a bit higher!\040
    47	= Try bounding\n
	+ off two walls\n
	+ in a corner to\n
	+ complete a\n
	+ triangle-\n
	+ shaped jump!
    48	= If you rotate\n
	+ the Control\n
	+ Stick before\n
	+ pressing @,\n
	+ you can do a\n
	+ Spin Jump!
    49	= When you\n
	+ cannot see\n
	+ what is ahead\n
	+ of you very\n
	+ well, try\n
	+ pressing <!
    4a	= If you hold\n
	+ down >\n
	+ until it clicks,\n
	+ you will stand\n
	+ still while you\n
	+ squirt water!
    4b	= Press and\n
	+ hold >\n
	+ to build up\n
	+ power in the\n
	+ Rocket Nozzle\n
	+ and launch!
    4c	= Press and\n
	+ hold > to\n
	+ power up the\n
	+ Turbo Nozzle\n
	+ and do a\n
	+ super dash!
    4d	= It seems that\n
	+ the Yoshi is\n
	+ hungry! Try\n
	+ pressing #\n
	+ near fruit to\n
	+ feed him.
    4e	= Press > to\n
	+ shoot water!
    4f	= Press > to\n
	+ refill my tank!
    50	= Danger!\n
	+ Hurry up and\n
	+ get coins to\n
	+ replenish your\n
	+ health!
    51	= This place is\n
	+ most unclean!\n
	+ Tidy it up\n
	+ with some\n
	+ water!
    52	= A kidnapping!\n
	+ Stop the\n
	+ criminal in his\n
	+ tracks with\n
	+ some water!
    53	= He is heading\n
	+ for the\n
	+ square! Go\n
	+ get him!
    54	= If you want\n
	+ to shoot\n
	+ water while\n
	+ moving, press\n
	+ > lightly!
    55	= Mario! Maybe\n
	+ you should\n
	+ try using the\n
	+ Hover Nozzle\n
	+ here!
    56	= Try washing\n
	+ off that "M"\n
	+ to test your\n
	+ skills! Press\n
	+ > to shoot\n
	+ water!
    57	= Press # to\n
	+ flip this\n
	+ gate!
    58	= Use a ground\n
	+ pound to flip\n
	+ through this\n
	+ gate!
    59	= This is one of\n
	+ my nozzles,\n
	+ the... Oh, you\n
	+ cannot use it\n
	+ yet. It is only\n
	+ a hologram.
    5a	= This is one of\n
	+ my nozzles,\n
	+ the Gadd\n
	+ Science, Inc.,\n
	+ Hover Nozzle!
    5b	= Danger! The\n
	+ bridge is out!\n
	+ Use my Hover\n
	+ Nozzle to\n
	+ cross large\n
	+ gaps!
    5c	= When hanging,\n
	+ press @ to\n
	+ flip gates!

