#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/1,f,14]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x280000
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Toi, là !\n
     b	= Pfiu ! Ca pour être \n
	+ chaud, c'est chaud !\n
	+ \n
	+ J'espère que tout le\n
	+ monde va bien !
     c	= Ca ne doit pas être \n
	+ facile d'être maire...
     d	= Durant la journée, \n
	+ l'eau des sources\n
	+ du village se dirige\n
	+ vers la source chaude.
     e	= Dans ma jeunesse, \n
	+ j'ai eu beaucoup \n
	+ d'aventures dans \n
	+ le monde du dessous.
     f	= Fais attention, ou tu\n
	+ risques de tomber...\n
	+ \n
	+ Et ça risque de faire\n
	+ très mal.
    10	= iiiik !\n
	+ Où dois-je me \n
	+ cacher ?
    11	= Un Chomp, désolé, \n
	+ j'ai pas de temps\n
	+ pour ça !
    12	= Ma maman a peur.
    13	= La fameuse source de\n
	+ Pianta est même un\n
	+ \n
	+ peu trop chaude pour\n
	+ moi... Ouch !
    14	= J'attends pour \n
	+ assister à l'instant\n
	+ \n
	+ précis où le fruit\n
	+ va grandir...
    15	= Vivement que le soleil\n
	+ se couche, que ma \n
	+ source préférée se\n
	+ remplisse à nouveau.
    16	= Tu es en sécurité ici.\n
	+ Ne bouge pas.
    17	= Il est tellement\n
	+ impatient...
    18	= Qu'est-ce que tu me\n
	+ veux ? Bouge !
    19	= On ne veut rien avoir\n
	+ à faire avec ces \n
	+ Chomps déchaînés.\n
	+ Mais ils sont trop \n
	+ gros pour qu'on \n
	+ puisse les ignorer...
    1a	= Encore ce \n
	+ Chomp déchaîné ?\n
	+ Je n'en peux plus !
    1b	= Il fait vraiment plus\n
	+ frais à l'ombre.
    1c	= La source chaude \n
	+ Pianta est supra\n
	+ chaude !!
    1d	= Source chaude Pianta\n
	+ \n
	+ ---OUVERT---\n
	+ Calme le corps \n
	+ et l'esprit en \n
	+ un plongeon !\n

#
#------------------------------------------------------------------------------

@SECTION "STR1"

@X   0:   0 6d 6f 6e  74 65 31 5f  30 30  0 6d  6f 6e 74 65  :.monte1_00.monte:
@X  10:  31 5f 30 31   0 6d 6f 6e  74 65 31 5f  30 32  0 6d  :1_01.monte1_02.m:
@X  20:  6f 6e 74 65  31 5f 30 33   0 6d 6f 6e  74 65 31 5f  :onte1_03.monte1_:
@X  30:  30 34  0 6d  6f 6e 74 65  31 5f 30 35   0 6d 6f 6e  :04.monte1_05.mon:
@X  40:  74 65 31 5f  30 36  0 6d  6f 6e 74 65  31 5f 30 37  :te1_06.monte1_07:
@X  50:   0 6d 6f 6e  74 65 31 5f  30 38  0 6d  6f 6e 74 65  :.monte1_08.monte:
@X  60:  31 5f 31 30   0 6d 6f 6e  74 65 31 5f  31 31  0 6d  :1_10.monte1_11.m:
@X  70:  6f 6e 74 65  31 5f 31 32   0 6d 6f 6e  74 65 31 5f  :onte1_12.monte1_:
@X  80:  31 33  0 6d  6f 6e 74 65  31 5f 31 34   0 6d 6f 6e  :13.monte1_14.mon:
@X  90:  74 65 31 5f  31 35  0 6d  6f 6e 74 65  31 5f 31 36  :te1_15.monte1_16:
@X  a0:   0 6d 6f 6e  74 65 31 5f  31 37  0 6d  6f 6e 74 65  :.monte1_17.monte:
@X  b0:  31 5f 31 38   0 6d 6f 6e  74 65 31 5f  31 39  0 6d  :1_18.monte1_19.m:
@X  c0:  6f 6e 74 65  31 5f 32 30   0 6d 6f 6e  74 65 31 5f  :onte1_20.monte1_:
@X  d0:  32 31  0 6d  6f 6e 74 65  31 5f 32 32   0 6d 6f 6e  :21.monte1_22.mon:
@X  e0:  74 65 31 5f  32 33  0 6d  6f 6e 74 65  31 5f 32 34  :te1_23.monte1_24:
@X  f0:   0 6d 6f 6e  74 65 31 5f  32 35  0 6d  6f 6e 74 65  :.monte1_25.monte:
@X 100:  31 5f 32 36   0 6d 6f 6e  74 65 31 5f  32 37  0 6d  :1_26.monte1_27.m:
@X 110:  6f 6e 74 65  31 5f 32 38   0 6d 6f 6e  74 65 31 5f  :onte1_28.monte1_:
@X 120:  32 39  0 6d  6f 6e 74 65  31 5f 33 30   0  0  0  0  :29.monte1_30....:
@X 130:   0  0  0  0   0  0  0  0   /                        :........:

