#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [,1/2]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Gib auf den\n
	+ auf einen\n
	+ Baum, kannst\n
	+ du dich fest-\n
	+ halten und\n
	+ hinaufklettern.
    42	= Du kannst\n
	+ das Obst\n
	+ durch Drücken\n
	+ von # auf-\n
	+ heben!
    43	= Dieses Obst\n
	+ ist wie ein\n
	+ Fußball!
    44	= Drücke ¥, um\n
	+ dich zu ver-\n
	+ gewissern,\n
	+ was direkt\n
	+ vor dir\n
	+ geschieht.
    45	= 
    46	= Drückst du\n
	+ mit richtigem\n
	+ Timing 2 x\n
	+ hintereinander\n
	+ @, springst\n
	+ du höher.
    47	= Stoße dich in\n
	+ einer Ecke\n
	+ von beiden\n
	+ Wänden ab,\n
	+ um im Dreieck\n
	+ zu springen.
    48	= Drehe *\n
	+ im Kreis und\n
	+ drücke @ für\n
	+ einen Dreh-\n
	+ sprung.
    49	= Siehst du die\n
	+ Geschehnisse\n
	+ vor dir nicht\n
	+ richtig, drücke\n
	+ <, um dies zu\n
	+ lösen!
    4a	= Drückst du >\n
	+ ganz nach\n
	+ unten, stehst\n
	+ du still und\n
	+ verspritzt\n
	+ Wasser.
    4b	= Halte > ge-\n
	+ drückt, um\n
	+ die Raketen-\n
	+ Düse aufzu-\n
	+ laden!
    4c	= Halte > ge-\n
	+ drückt, um\n
	+ die Turbo-\n
	+ Düse zu\n
	+ aktivieren!
    4d	= Dein Yoshi\n
	+ hat Hunger!\n
	+ Drücke # in\n
	+ der Nähe von\n
	+ Obst und\n
	+ füttere ihn.
    4e	= 
    4f	= 
    50	= 
    51	= Dieser Ort ist\n
	+ schmutzig!\n
	+ Säubere ihn\n
	+ mit Wasser!
    52	= Eine Geisel-\n
	+ nahme!\n
	+ Halte den\n
	+ Entführer\n
	+ mittels Was-\n
	+ ser auf!
    53	= Er läuft zu\n
	+ Piazzetta\n
	+ Bianco! \n
	+ Ihm nach!
    54	= Möchtest du\n
	+ beim Laufen\n
	+ Wasser ver-\n
	+ spritzen, \n
	+ drücke >\n
	+ nicht durch!
    55	= Mario! Pro-\n
	+ biere hier\n
	+ die Schwebe-\n
	+ Düse!
    56	= Versuche, ob\n
	+ du das "M"\n
	+ von der Wand\n
	+ bekommst.\n
	+ Drücke > zum\n
	+ Spritzen!
    57	= Drücke #, um\n
	+ das Gitter zu\n
	+ drehen!
    58	= Mit einer\n
	+ Stampfattacke\n
	+ kommst du\n
	+ durch dieses\n
	+ Gitter!
    59	= Hier wäre eine\n
	+ meiner Düsen\n
	+ versteckt!\n
	+ Du kannst sie\n
	+ noch nicht\n
	+ einsetzen!
    5a	= Dies ist eine\n
	+ meiner Düsen.\n
	+ Die Schwebe-\n
	+ Düse der\n
	+ Gidd GmbH!
    5b	= Die Brücke ist\n
	+ zerstört!\n
	+ Benutze die\n
	+ Schwebe-\n
	+ Düse vor\n
	+ Abgründen!
    5c	= Hängst du an\n
	+ einem Gitter,\n
	+ drücke @, um\n
	+ es zu drehen!

