#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/,1,2]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x30100
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Ah, Mario!\n
	+ televisione!\n
	+ Come dici? È\n
	+ già tutto finito?\n
	+ Che tristezza...\n
	+ Come al solito, mi\n
	+ sono perso il\n
	+ più bello...
    10	= Questa è Piazza\n
	+ Ariosa, ma...\n
	+ \n
	+ dov'è finita la statua\n
	+ di Gran Palmense di\n
	+ cui parla la guida?
    11	= Vengo dal Villaggio\n
	+ delle Palme...\n
	+ \n
	+ Sono venuta qui a\n
	+ passare le ferie ma...\n
	+ \n
	+ non credevo che le\n
	+ città fossero così\n
	+ sporche!
    12	= Non posso\n
	+ crederci!\n
	+ \n
	+ Qualcuno ha sporcato\n
	+ i muri di questa\n
	+ stupenda città!\n
	+ E poi, cosa diamine \n
	+ significa\n
	+ quella M?!\n
	+ A proposito, non ti\n
	+ ho già visto da\n
	+ queste parti?
    13	= Ma allora è vero...\n
	+ I Soli Custodi ci\n
	+ hanno abbandonato!\n
	+ M'è venuta\n
	+ una depressione...\n
	+ \n
	+ Non potremo\n
	+ più abbronzarci?!
    14	= Ehilà! Mi chiamano il\n
	+ Tipo delle Casse.\n
	+ Sai perché?\n
	+ Perché scarico le\n
	+ casse dalle barche.\n
	+ \n
	+ Saresti capace di\n
	+ spaccarne un po'?\n
	+ \n
	+ Quando passi dal mio\n
	+ magazzino ti\n
	+ faccio provare!
    15	= Che aspetto orribile!\n
	+ È successo qualcosa?\n
	+ \n
	+ Hai la faccia di chi si\n
	+ aspetta che accada un\n
	+ disastro...\n
	+ Come dici? Il disastro\n
	+ è già qui? Beh, \n
	+ non posso darti torto!
    16	= Lascia che te lo dica:\n
	+ siamo nei pasticci...\n
	+ Se va avanti così...\n
	+ presto questo posto\n
	+ rimarrà completamente\n
	+ al buio!
    17	= Ma allora è vero che\n
	+ i Soli Custodi sono\n
	+ scomparsi!
    18	= No, no... la barca\n
	+ non parte ancora.\n
	+ \n
	+ Beh, non so\n
	+ cosa farci...
    19	= Mario, perché il cielo\n
	+ non è limpido\n
	+ come dovrebbe?\n
	+ Non si può certo\n
	+ dire che sia una\n
	+ vacanza rilassante...\n
	+ Voglio tornare\n
	+ immediatamente\n
	+ a casa...
    1a	= Ci vorrà un bel\n
	+ po' per finire\n
	+ le riparazioni...
    1b	= TIPO DELLE CASSE\n
	+          \n
	+ ---CHIUSO---\n
	+ \n
	+ Vuoi metterti alla\n
	+ prova? Torna dopo!\n
    1c	= BARACCA SUL MARE\n
	+ \n
	+ \n
	+ ---CHIUSO--- \n
	+ \n
	+ Tornate un'altra volta.\n
    1d	= Ah, sei tu!\n
	+ Hai la mappa\n
	+ turistica?\n
	+ Ricorda che per\n
	+ vederla devi\n
	+ premere $.
    1e	= Ho fatto naufragio\n
	+ tre anni fa e da allora\n
	+ vivo su quest'isola.\n
	+ Vorrei andarmene, ma\n
	+ non so nuotare.\n
	+ Che tristezza, vero?

#
#------------------------------------------------------------------------------

@SECTION "STR1"

@X   0:   0 64 6f 6c  70 69 63 30  5f 30 30  0  64 6f 6c 70  :.dolpic0_00.dolp:
@X  10:  69 63 30 5f  30 31  0 64  6f 6c 70 69  63 30 5f 30  :ic0_01.dolpic0_0:
@X  20:  32  0 64 6f  6c 70 69 63  30 5f 30 33   0 64 6f 6c  :2.dolpic0_03.dol:
@X  30:  70 69 63 30  5f 30 34  0  64 6f 6c 70  69 63 30 5f  :pic0_04.dolpic0_:
@X  40:  30 35  0 64  6f 6c 70 69  63 30 5f 30  36  0 64 6f  :05.dolpic0_06.do:
@X  50:  6c 70 69 63  30 5f 30 37   0 64 6f 6c  70 69 63 30  :lpic0_07.dolpic0:
@X  60:  5f 30 38  0  64 6f 6c 70  69 63 30 5f  30 39  0 64  :_08.dolpic0_09.d:
@X  70:  6f 6c 70 69  63 30 5f 31  30  0 64 6f  6c 70 69 63  :olpic0_10.dolpic:
@X  80:  30 5f 31 31   0 64 6f 6c  70 69 63 30  5f 31 32  0  :0_11.dolpic0_12.:
@X  90:  64 6f 6c 70  69 63 30 5f  31 33  0 64  6f 6c 70 69  :dolpic0_13.dolpi:
@X  a0:  63 30 5f 31  34  0 64 6f  6c 70 69 63  30 5f 31 35  :c0_14.dolpic0_15:
@X  b0:   0 64 6f 6c  70 69 63 30  5f 31 36  0  64 6f 6c 70  :.dolpic0_16.dolp:
@X  c0:  69 63 30 5f  31 37  0 64  6f 6c 70 69  63 30 5f 31  :ic0_17.dolpic0_1:
@X  d0:  38  0 64 6f  6c 70 69 63  30 5f 31 39   0 64 6f 6c  :8.dolpic0_19.dol:
@X  e0:  70 69 63 30  5f 32 30  0  64 6f 6c 70  69 63 30 5f  :pic0_20.dolpic0_:
@X  f0:  32 32  0 64  6f 6c 70 69  63 30 5f 32  33  0 64 6f  :22.dolpic0_23.do:
@X 100:  6c 70 69 63  30 5f 32 34   0 64 6f 6c  70 69 63 30  :lpic0_24.dolpic0:
@X 110:  5f 32 35  0  64 6f 6c 70  69 63 30 5f  32 36  0 64  :_25.dolpic0_26.d:
@X 120:  6f 6c 70 69  63 30 5f 32  37  0 64 6f  6c 70 69 63  :olpic0_27.dolpic:
@X 130:  30 5f 32 38   0 64 6f 6c  70 69 63 30  5f 32 39  0  :0_28.dolpic0_29.:
@X 140:  64 6f 6c 70  69 63 30 5f  33 30  0 64  6f 6c 70 69  :dolpic0_30.dolpi:
@X 150:  63 30 5f 33  34  0  0  0   /                        :c0_34...:

